net,length_um
net3,434.76
net2,417.46
net1,385.44
net9,66.62
net4,63.32
net7,61.26
net11,41.6
net5,41.08
net10,36.28
net8,26.98
net6,23.92
in[2],15.16
out[0],10.32
out[6],10.32
out[5],9.86
out[1],8.96
out[4],8.38
out[7],5.75
in[0],5.29
_02_,5.22
in[1],4.95
_03_,4.82
out[3],4.39
out[2],3.93
_00_,3.88
_01_,3.54
